Subject,Stimulus,Response,Confidence,Correct,Contrast,Side,RT_Decision,RT_Confidence
1,1,2,1,0,2,1,1.04410273199028,0.265720397001132
1,2,1,1,0,1,2,1.54540622899367,0.225159565001377
1,1,1,2,1,1,1,1.63487691100454,0.471257911005523
1,1,2,3,0,1,1,1.11103015899425,0.456877354998142
1,2,2,2,1,2,2,1.25702290599293,0.34909030100971
1,2,2,3,1,1,1,0.897695946012391,0.28421435400378
1,2,2,2,1,1,1,0.939298315002816,0.268480635000742
1,2,2,1,1,1,1,0.81158352100465,0.186508700993727
1,2,2,2,1,2,2,0.885226932005025,0.544614293001359
1,1,1,1,1,2,2,1.14146711899957,0.28586496799835
1,2,2,1,1,1,2,1.42140344998916,0.418661739007803
1,1,2,2,0,2,1,1.46017798798857,0.256037158993422
1,1,2,1,0,1,1,0.976507956991554,0.175477273995057
1,2,2,3,1,2,2,1.59589188800601,0.297880969999824
1,2,1,1,0,1,1,1.02492075799091,0.166763720000745
1,1,1,2,1,2,1,1.02635063599155,0.248067412991077
1,1,1,2,1,2,2,0.952852066999185,1.03338350000558
1,1,1,3,1,2,1,1.7294834649947,0.362172255001497
1,2,2,2,1,1,1,0.950491501993383,0.367396348010516
1,2,2,4,1,1,1,0.906332461003331,0.477264946006471
1,2,1,1,0,1,2,0.933067602003575,0.957839228998637
1,2,2,3,1,2,2,0.873321085993666,0.476764046994504
1,1,2,1,0,1,1,3.61255874398921,0.175770709000062
1,1,1,1,1,1,1,1.30768974100647,0.222021683992352
1,2,2,3,1,2,1,0.887564595002914,0.234583489989745
1,1,1,1,1,1,1,1.12407042000268,0.180491695005912
1,1,1,3,1,2,2,0.993345323004178,0.615592061993084
1,1,2,3,0,2,1,1.72148481500335,0.321512406007969
1,1,2,3,0,1,2,2.04808714899991,0.595121804988594
1,1,1,2,1,1,2,0.902120988001116,0.4636554329918
1,2,2,3,1,1,2,1.34393946999626,0.441290861999732
1,1,1,4,1,2,1,2.37755199699313,0.271894770005019
1,2,2,3,1,1,1,1.02360237299581,0.285206177999498
1,1,2,4,0,1,1,1.50825314701069,0.262135331999161
1,1,1,4,1,1,1,1.83063732800656,0.362964600994019
1,1,2,3,0,1,1,1.46349618700333,0.52290867701231
1,2,2,4,1,1,1,1.03280964800797,0.181101488997228
1,2,2,4,1,2,1,0.68943992399727,0.228806133993203
1,1,1,1,1,2,2,0.838080276997061,0.267825353002991
1,2,2,3,1,2,2,0.907058602999314,0.34979204100091
1,2,2,4,1,1,2,1.47402622799564,0.413426490995334
1,2,2,4,1,1,2,0.887559084003442,0.233945109008346
1,2,2,4,1,2,2,0.707376436999766,0.20588045300974
1,1,1,4,1,2,1,1.04105388199969,0.236846350002452
