Subject,Stimulus,Response,Confidence,Correct,Contrast,Hand,RT_Decision,RT_Confidence
1,1,2,3,0,1,1,1.21999091999896,0.689338326003053
1,2,2,3,1,2,2,0.972031780998805,1.44240130200342
1,2,1,2,0,1,2,0.858055320000858,1.41805194200424
1,1,1,1,1,2,2,1.21948979599983,2.0602816210012
1,1,2,1,0,2,1,1.44677591700747,0.899170418997528
1,1,2,2,0,1,1,0.80877380000311,0.406696496007498
1,2,2,4,1,2,2,1.35610595499747,2.22730376799882
1,2,2,2,1,1,2,1.77994710800704,3.82702085199708
1,1,2,2,0,1,2,3.28189173100691,3.73848007600463
1,1,2,2,0,1,2,0.891812465997646,1.33818479099136
1,2,2,1,1,1,2,1.53434687100525,2.19894569799362
1,1,1,1,1,1,1,0.901169958000537,0.327177905011922
1,2,1,1,0,2,1,0.605200410005637,0.3155552019889
1,1,2,3,0,2,2,1.05155595399265,1.60357930199825
1,2,2,3,1,2,2,0.748825246992055,1.30127751300461
1,1,1,2,1,1,1,1.27226013099425,1.30685507699673
1,2,2,2,1,1,2,0.946348380006384,2.02666642599797
1,2,2,2,1,1,1,0.920110978011508,0.562066357990261
1,2,2,3,1,2,1,1.07010248700681,0.617680130992085
1,2,2,4,1,2,1,0.81079790199874,0.377375242998824
1,1,2,3,0,2,1,1.157290698,0.781089581985725
1,1,1,1,1,2,1,1.32805403000384,0.929873663000762
1,2,2,3,1,2,2,1.53668313600065,3.25777069298783
1,2,2,2,1,2,2,1.18344853300368,1.70365340101125
1,1,2,3,0,1,2,0.92339204500604,1.46798310099985
1,1,1,2,1,1,2,1.45022313299705,2.41758089400537
1,2,2,4,1,2,2,0.866769135987852,1.69138161699811
1,2,1,1,0,1,1,1.92495596100343,0.381917193008121
1,2,2,3,1,1,1,0.752460919000441,0.752675545008969
1,2,2,4,1,1,2,0.952639594004722,1.48679538301076
1,2,2,4,1,2,1,0.78692571099964,0.353650303994073
1,1,2,4,0,1,2,1.00923242600402,1.52013695999631
1,2,2,4,1,1,2,0.845281689995318,1.38896778400522
1,2,1,2,0,1,1,1.01259303100233,0.578240766990348
1,1,2,3,0,1,2,0.889493207010673,1.46407010000257
1,2,2,3,1,2,2,0.75079138300498,1.2635881449969
1,2,2,4,1,2,2,0.736011349988985,1.26348255299672
1,1,1,1,1,1,2,1.52616221200151,2.27032828801021
1,2,2,3,1,2,2,1.07664948998718,1.52362629398704
1,1,1,2,1,2,2,1.16023658700578,1.71172376099275
1,1,2,3,0,2,2,1.15007985201373,1.69331619500008
1,2,2,4,1,2,1,0.911532434998662,0.330746840001666
1,1,2,3,0,1,1,1.08822280200548,0.570863487999304
1,2,2,4,1,1,2,0.929540148004889,1.39228440799343
1,2,2,4,1,1,2,0.79535744599707,1.28406584999175
1,2,2,4,1,1,1,0.6941952950001,0.329695756008732
1,1,2,3,0,1,1,0.830895555991447,0.388199014007114
1,1,2,4,0,1,2,0.874809291010024,1.37790326699906
1,1,2,3,0,2,2,0.740497085993411,1.70821037898713
1,2,2,4,1,1,2,0.730127525006537,1.58647123500123
1,1,2,3,0,2,1,0.782903188010096,0.317868347003241
1,2,2,4,1,2,1,0.731321525992826,0.308807492998312
1,1,2,3,0,1,1,0.707426801003749,0.437724118004553
1,2,2,3,1,1,2,0.866607892006869,1.28974739000842
1,1,2,1,0,2,2,0.702753847988788,2.08712541600107
1,1,1,3,1,2,1,0.841600557003403,1.21477997800685
1,2,2,4,1,1,1,0.776021908997791,0.319810672997846
1,1,2,4,0,2,1,0.773772601998644,2.02126483200118
1,1,1,2,1,1,1,1.45364395999059,1.50468990200898
1,2,2,3,1,2,2,0.809819093003171,1.25026345100196
1,2,2,4,1,2,1,1.27754411599017,0.624731074989541
1,1,1,4,1,2,2,1.50927963400318,2.38166936200287
1,1,1,4,1,1,2,1.07026895100717,1.60774277000746
1,1,1,1,1,1,2,1.31165116600459,2.29676182399271
1,1,1,2,1,1,2,0.812130917009199,1.96418774100312
1,1,2,2,0,1,2,1.1602597769961,1.71199727299972
1,2,2,3,1,1,2,0.755365819000872,1.25323985399154
1,1,1,3,1,1,1,0.777011683996534,0.520373769002617
1,2,1,1,0,1,1,1.62183475200436,0.282610483001918
1,1,1,2,1,1,2,1.31605628700345,1.837071447997
1,1,1,2,1,1,1,0.937586611995357,0.329982905008364
1,1,1,1,1,2,2,1.65837625499989,2.51507793999917
1,2,2,3,1,2,1,0.868012682010885,0.471725275012432
1,1,1,4,1,2,1,1.111593566995,0.457590346995858
1,1,1,2,1,2,2,1.37321680200694,2.79607872699853
1,1,1,3,1,2,2,0.700751108000986,1.09372789600457
1,2,1,4,0,2,1,0.85602846898837,0.300636604995816
1,2,1,2,0,1,1,1.17121440201299,0.43485732699628
1,2,2,3,1,2,2,0.853988969000056,1.28561811000691
1,2,2,4,1,1,2,0.789239018995431,1.28430346099776
1,1,1,2,1,1,2,0.755314045003615,1.18566345599538
1,1,1,4,1,2,1,0.745166385007906,0.418368204002036
1,1,1,4,1,2,1,1.08361732499907,0.34251232999668
1,2,2,3,1,1,2,0.918998429988278,1.37375802699535
1,2,1,4,0,1,1,0.854494104001787,0.425865333003458
1,1,1,1,1,2,1,2.30047716498666,0.372716594007215
1,1,1,3,1,2,1,1.56036574099562,0.535975539998617
1,2,2,3,1,1,1,1.08550866799487,0.535698127001524
1,1,2,1,0,2,1,0.716506604003371,1.9905608320114
1,1,1,4,1,1,1,1.08778182399692,1.93065771799593
